,close,high,open,low
20230103,27681.036252016078,27769.99763374617,27704.44714194505,27137.903605663934
20230104,28228.851076354014,28299.08374614093,27554.61744639963,27489.06695459851
20230105,28467.642153629524,28589.378781260177,28359.952059956253,28261.626322254575
20230106,28786.03025666354,28931.177774223164,28359.952059956253,28359.952059956253
20230109,29572.636158276986,29577.31833626278,29066.9609358112,29066.9609358112
20230110,29605.411404177547,29806.745057566703,29399.395572802598,29375.984682873623
20230111,29689.690607921842,29844.202481453056,29694.37278590764,29525.814378419043
20230112,29759.92327770876,29839.520303467263,29839.520303467263,29600.729226191754
20230113,29961.256931097916,30134.497516572304,29886.342083325206,29816.109413538292
20230116,30204.730186359222,30335.83116996146,30073.62920275698,30022.12524491324
20230117,29979.98564304109,30232.823254273986,30204.730186359222,29923.79950721156
20230118,29788.016345623524,30008.07871095586,29965.93910908371,29624.140116120725
20230119,29956.57475311212,29951.892575126327,29666.27971799287,29652.23318403549
20230120,30143.861872543894,30153.226228515483,29998.71435498427,29853.566837424645
20230125,30630.808383066505,30729.134120768187,30583.986603208563,30546.529179322206
20230126,31066.25093574538,31094.344003660142,30729.134120768187,30626.12620508071
20230127,31314.406368992477,31515.740022381633,31136.483605532292,31000.700443944257
20230130,30835.7506744567,31389.489615194165,31389.489615194165,30826.36526868149
20230131,30328.93876259529,30873.292297557546,30854.52148600712,30314.860653932472
20230201,30704.35499360374,30737.203913816982,30680.89147916571,30460.334443448246
20230202,31009.38068129811,31215.859608352755,31117.312847713038,30765.360131142614
20230203,31145.469065038673,31220.55231124036,30971.839058197264,30882.677703332756
20230206,30450.949037673035,30938.990137984023,30915.526623545997,30558.881204087967
20230207,30643.34985606487,30709.047696491347,30572.959312750783,30394.63660302177
20230208,31098.542036162617,31211.16690546515,30798.209051355854,30798.209051355854
20230209,31018.76608707332,31131.390956375853,30948.375543759234,30840.443377344305
20230210,30915.526623545997,31178.31798525191,30793.51634846825,30709.047696491347
20230213,30755.974725367403,31136.083659263462,30915.526623545997,30549.495798312753
20230214,30934.297435096418,31150.161767926278,30924.912029321207,30877.98500044515
20230215,30371.17308858374,30971.839058197264,30971.839058197264,30333.631465482897
20230216,30967.14635530966,31023.458789960925,30526.032283874727,30526.032283874727
20230217,30685.584182053317,30953.06824664684,30699.662290716136,30502.568769436697
20230220,30793.51634846825,30887.37040622036,30591.730124301204,30418.100117459795
20230221,30751.282022479798,30845.13608023191,30802.90175424346,30587.0374214136
20230222,30221.00659618036,30497.87606654909,30408.714711684584,30197.543081742333
20230223,30596.42282718881,30694.96958782853,30418.100117459795,30328.93876259529
20230224,30319.553356820077,30699.662290716136,30554.188501200362,30310.167951044867
20230227,30033.298480676134,30052.069292226555,30019.22037201332,29789.27793052064
20230228,30192.850378854724,30380.558494358953,30183.464973079514,30047.37658933895
20230302,30202.23578462994,30460.334443448246,30192.850378854724,30061.45469800177
20230303,30258.548219281205,30389.943900134163,30389.943900134163,30136.537944203457
20230306,30690.276884940926,30849.828783119516,30558.881204087967,30408.714711684584
20230307,30535.417689649938,30765.360131142614,30577.65201563839,30540.110392537543
20230308,30098.99632110261,30328.93876259529,30328.93876259529,30061.45469800177
20230309,30005.1422633505,30300.782545269656,30249.162813505995,30014.52766912571
20230310,29671.9603583305,30113.07442976543,29610.955220791624,29540.56467747754
20230313,29925.366314261202,30000.449560462894,29732.96549586937,29470.174134163455
20230314,29244.924395558384,29751.736307419797,29751.736307419797,29212.075475345147
20230315,29596.87711212881,29770.507118970218,29545.257380365147,29442.017916837824
20230316,29488.94494571388,29564.028191915568,29277.773315771625,29141.68493203106
20230317,29817.434147846274,29892.517394047965,29751.736307419797,29620.34062656684
20230320,29601.569815016413,29962.907937362048,29718.887387206556,29606.26251790402
20230321,29690.73116988092,29836.204959396695,29742.350901644582,29620.34062656684
20230322,30047.37658933895,30066.147400889375,29883.131988272755,29831.51225650909
20230323,30136.537944203457,30160.001458641487,29793.970633408248,29784.585227633033
20230324,30042.683886451345,30183.464973079514,30061.45469800177,29883.131988272755
20230327,29925.366314261202,30122.45983554064,30122.45983554064,29761.121713195007
20230328,30244.47011061839,30225.699299067965,30033.298480676134,29925.366314261202
20230329,30277.319030831626,30319.553356820077,30174.079567304303,30113.07442976543
20230330,30502.568769436697,30624.579044514445,30408.714711684584,30352.402277033318
20230331,30995.30257263529,30924.912029321207,30502.568769436697,30502.568769436697
20230403,30737.203913816982,31023.458789960925,30995.30257263529,30685.584182053317
20230404,30859.214188894726,30962.453652422053,30718.433102266557,30718.433102266557
20230405,31032.844195736136,31075.078521724587,30859.214188894726,30854.52148600712
20230406,30516.646878099516,30896.755811995572,30896.755811995572,30483.797957886276
20230407,31023.458789960925,31061.00041306177,30723.125805154163,30713.740399378952
20230410,31309.713666104868,31459.88015850825,31014.073384185715,30971.839058197264
20230411,31694.515302888532,31788.369360640645,31441.109346957826,31380.104209418954
20230412,31802.44746930346,31900.994229943182,31694.515302888532,31656.973679787687
20230413,31886.916121280363,31910.379635718393,31619.43205668684,31619.43205668684
20230414,31999.5409905829,32187.249106087125,31999.5409905829,31900.994229943182
20230417,32023.004505020926,32051.16072234656,31900.994229943182,31014.073384185715
20230418,31961.999367482054,32065.238831009377,32065.238831009377,31769.598549090224
20230419,31990.15558480769,32098.087751222618,31961.999367482054,31924.45774438121
20230420,31891.608824167968,31985.462881920084,31825.91098374149,31769.598549090224
20230421,31736.749628876983,31872.838012617547,31811.832875078675,31619.43205668684
20230424,31502.114484496702,31666.359085562897,31624.124759574446,31483.343672946277
